date,closing_price,fear_greed_index,pageviews,ITB Sentiment Score,Bitcoin_Normalized,galaxy_score,santiment
2023-05-25,26476.20703125,51.0,7630,-0.4910025706940874,10.029843893480257,42,0.010500966376
2023-05-26,26719.291015625,49.0,9317,-0.4774011299435028,9.69551576369758,41,0.080925997913
2023-05-27,26868.353515625,48.0,8681,-0.3589069889647924,8.525367309458218,41,-0.975869482041
2023-05-28,28085.646484375,50.0,8940,-0.318942731277533,8.859695439240893,41,-0.78467703698
2023-05-29,27745.884765625,52.0,10544,-0.4520958083832335,10.953600944510034,40,-0.079562766866
2023-05-30,27702.349609375,51.0,9793,-0.4395178648299612,10.953600944510034,42,-0.245010581024
2023-05-31,27219.658203125,51.0,7793,-0.5558364938895912,10.953600944510034,42,-0.285534585809
2023-06-01,26819.97265625,52.0,8072,-0.3017415957877683,11.145769382133016,42,-0.676289174033
2023-06-02,27249.58984375,50.0,8046,-0.3299344501092498,10.377095631641089,42,-0.470827328675
2023-06-03,27075.12890625,53.0,6967,-0.5005500550055005,9.800590318772135,42,-1.069597572634
2023-06-04,27119.06640625,52.0,7594,-0.3147453083109919,9.800590318772135,41,-1.030089815166
2023-06-05,25760.09765625,53.0,8280,-0.584920326467159,10.92393736017897,41,0.479707636313
2023-06-06,27238.783203125,44.0,8500,-0.5802963556267521,12.248050979594604,42,0.867445772283
2023-06-07,26345.998046875,53.0,9055,-0.5518134715025906,10.427394752898108,41,0.054095156432
2023-06-08,26508.216796875,50.0,7399,-0.530471648118707,10.0963663480442,41,-0.825111320997
2023-06-09,26480.375,50.0,6823,-0.3190156599552572,9.268795335909427,42,-2.304596533627
2023-06-10,25851.240234375,49.0,6912,-0.5804518211157216,10.59290895532506,41,-2.179619308142
2023-06-11,25940.16796875,47.0,7019,-0.529479107040641,10.427394752898108,42,-2.143813656211
2023-06-12,25902.5,47.0,7627,-0.3772455089820359,12.794372294372296,41,-2.03893439243
2023-06-13,25918.728515625,45.0,7411,-0.2338514680483592,12.360664758969843,41,-1.936989841399
2023-06-14,25124.67578125,46.0,7929,-0.2366984993178717,13.011226062073517,42,-1.856807864697
2023-06-15,25576.39453125,41.0,10168,-0.2616231086657496,14.095494900579649,42,-1.775293588226
2023-06-16,26327.462890625,47.0,10108,-0.2333452084075525,13.228079829774744,43,-1.710958538533
2023-06-17,26510.67578125,47.0,8825,-0.0235580828594638,12.14381099126862,42,-1.640255471739
2023-06-18,26336.212890625,49.0,8733,-0.1858513189448441,11.926957223567394,42,-1.57749467599
2023-06-19,26851.029296875,47.0,9636,-0.3633410672853828,9.340772453998904,42,-1.51505058919
2023-06-20,28327.48828125,49.0,9574,-0.4334587752309271,10.160138458735652,42,-1.461504983836
2023-06-21,30027.296875,59.0,11068,-0.370242214532872,13.437602477682631,42,-1.411974683332
2023-06-22,29912.28125,65.0,10184,-0.4357782940590773,13.601475678629985,42,-1.374954460357
2023-06-23,30695.46875,65.0,9654,-0.5227070347284061,12.782109673893242,42,-1.34078121483
2023-06-24,30548.6953125,62.0,12577,-0.4168912848158131,11.471124066314443,42,-1.297458932283
2023-06-25,30480.26171875,64.0,10611,-0.5018706574024586,10.979504463472397,42,-1.255083769678
2023-06-26,30271.130859375,55.0,9669,-0.4652833200319234,11.95580538864121,42,-1.215573124532
2023-06-27,30688.1640625,59.0,9918,-0.512042818911686,10.959488272921106,42,-1.175083969248
2023-06-28,30086.24609375,62.0,10554,-0.5195924764890282,11.29159397816114,42,-1.13970969047
2023-06-29,30445.3515625,54.0,11013,-0.3890513999164229,10.959488272921106,42,-1.111395191604
